id,title,tags,cluster
237,Young Adam,"Drama, Thriller, Crime, Romance, Ewan Stewart, Pauline Turner, Emily Mortimer, David Mackenzie",2
238,The Godfather,"Drama, Crime, Gianni Russo, Marlon Brando, Randy Jurgensen, Francis Ford Coppola",3
239,Some Like It Hot,"Comedy, Romance, Crime, Joe E. Brown, Nehemiah Persoff, George Ford, Billy Wilder",6
240,The Godfather Part II,"Drama, Crime, Jay Rasumny, Johnny Naranjo, G. D. Spradlin, Francis Ford Coppola",3
241,Natural Born Killers,"Crime, Thriller, Drama, Paul Dillon, Louis Lombardi, Mark Harmon, Oliver Stone",2
242,The Godfather Part III,"Crime, Drama, Thriller, Robert Cicchini, Don Costello, Angelo Ragusa, Francis Ford Coppola",2
243,High Fidelity,"Drama, Comedy, Romance, Music, Michele Graff, Joan Cusack, Ian Belknap, Stephen Frears",6
244,King Kong,"Adventure, Fantasy, Horror, Roy Brent, Louise Emmons, Charlie Hall, Merian C. Cooper, Ernest B. Schoedsack",1
245,About a Boy,"Drama, Comedy, Romance, Delma Walsh, Annabelle Apsion, Paulette P. Williams, Paul Weitz, Chris Weitz",6
246,Zatoichi,"Adventure, Drama, Action, Daigaku Sekine, Shin'ichi Nakatsuka, Masayoshi Ōzeki, Takeshi Kitano",1
248,Pocketful of Miracles,"Comedy, Drama, Sam Bagley, Amanda Randolph, Sailor Vincent, Frank Capra",6
249,The War of the Roses,"Comedy, Drama, Sean Astin, Dan Castellaneta, Harlan Arnold, Danny DeVito",6
251,Ghost,"Fantasy, Drama, Thriller, Mystery, Romance, Gail Boggs, Rick Kleber, Tony Goldwyn, Jerry Zucker",0
252,Willy Wonka & the Chocolate Factory,"Family, Fantasy, Comedy, Michael Bollner, Walker Edmiston, Pepi Poupee, Mel Stuart",7
253,Live and Let Die,"Adventure, Action, Thriller, Stephen Hendrickson, Don Topping, James Langston Drake, Guy Hamilton",1
254,King Kong,"Adventure, Drama, Action, Phil Grieve, Stephen Hall, Latham Gaines, Peter Jackson",1
255,Stolen Kisses,"Comedy, Drama, Romance, Jacques Rispal, François Darbon, Delphine Seyrig, François Truffaut",6
257,Oliver Twist,"Crime, Drama, Family, Ben Kingsley, John Nettleton, Barney Clark, Roman Polanski",3
261,Cat on a Hot Tin Roof,"Drama, Judith Anderson, Brian Corcoran, Robert 'Rusty' Stevens, Richard Brooks",3
262,The King of Comedy,"Drama, Comedy, Jay Julien, Leslie Levinson, Jimmy Raitt, Martin Scorsese",6
266,Contempt,"Drama, Romance, Linda Veras, Jack Palance, Brigitte Bardot, Jean-Luc Godard",0
268,Batman,"Fantasy, Action, Crime, John Sterland, Garrick Hagon, Paul Michael, Tim Burton",2
272,Batman Begins,"Action, Crime, Drama, Charlie Kranz, Flavia Masetto, Rutger Hauer, Christopher Nolan",2
274,The Silence of the Lambs,"Crime, Drama, Thriller, Chris Isaak, Brooke Smith, Leib Lensky, Jonathan Demme",2
275,Fargo,"Crime, Drama, Thriller, Peter Stormare, Robert Ozasky, Steve Buscemi, Joel Coen",2
277,Underworld,"Fantasy, Action, Thriller, Richard Cetrone, Dennis J. Kozeluh, Wentworth Miller, Len Wiseman",1
278,The Shawshank Redemption,"Drama, Crime, Joe Pecoraro, Frank Medrano, Renee Blaine, Frank Darabont",3
279,Amadeus,"History, Music, Drama, Miriam Chytilová, Iva Šebková, Richard Stilwell, Miloš Forman",3
280,Terminator 2: Judgment Day,"Action, Thriller, Science Fiction, Edward Furlong, Shane Wilder, S. Epatha Merkerson, James Cameron",4
281,Strange Days,"Crime, Drama, Science Fiction, Thriller, Joe Urla, John Daniels, David Carrera, Kathryn Bigelow",2
284,The Apartment,"Comedy, Drama, Romance, Dick Cherney, Tony Regan, Willard Waterman, Billy Wilder",6
285,Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action, Jack Davenport, Naomie Harris, Jim Raycroft, Gore Verbinski",1
287,Bull Durham,"Comedy, Romance, Henry G. Sanders, Garland Bunting, John Lovingood, Ron Shelton",6
288,High Noon,"Western, Drama, Jack Montgomery, Robert J. Wilke, William H. O'Brien, Fred Zinnemann",3
289,Casablanca,"Drama, Romance, Marcel Dalio, Paul Porcasi, Fred Farrell, Michael Curtiz",0
290,Barton Fink,"Comedy, Drama, Thriller, Michael Lerner, Harry Bugin, Steve Buscemi, Joel Coen",6
291,Riding Giants,"Documentary, David H. Kalama Jr., Dave Kalama, Mickey Munoz, Stacy Peralta",3
292,Dave Chappelle's Block Party,"Comedy, Documentary, Music, John Legend, Leonard 'Hub' Hubbard, Michel Gondry, Michel Gondry",6
293,A River Runs Through It,"Drama, Family, Camille Bonora, Rex Kendall, Kathy Scharler, Robert Redford",3
294,Desert Hearts,"Drama, Romance, Tyler Tyhurst, Dean Butler, Dave Roberts, Donna Deitch",0
296,Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction, Susan Merson, Kristanna Loken, Timothy Dowling, Jonathan Mostow",4
297,Meet Joe Black,"Fantasy, Drama, Romance, Michelle Youell, Jahnni St. John, Claire Forlani, Martin Brest",0
298,Ocean's Thirteen,"Crime, Thriller, Sarah Ospina, Lanette Fugit Hannah, Adam Kaiz, Steven Soderbergh",2
300,The Science of Sleep,"Comedy, Drama, Fantasy, Sacha Bourdo, Miou-Miou, Inigo Lezzi, Michel Gondry",6
301,Rio Bravo,"Western, Yakima Canutt, Sailor Vincent, Kansas Moehring, Howard Hawks",3
302,Swimming Pool,"Crime, Thriller, Michel Fau, Jean-Marie Lamour, Marc Fayolle, François Ozon",2
303,Notorious,"Thriller, Romance, Mystery, Donald Kerr, Louis Calhern, Almeda Fowler, Alfred Hitchcock",0
306,Beverly Hills Cop III,"Action, Comedy, Crime, Gilbert R. Hill, Timothy Carhart, Bob Minor, John Landis",2
307,"Rome, Open City","Drama, War, Maria Michi, Carla Rovere, Alberto Tavazzi, Roberto Rossellini",3
308,Broken Flowers,"Comedy, Drama, Mystery, Romance, Jeffrey Wright, Christopher McDonald, Jessica Lange, Jim Jarmusch",6
310,Bruce Almighty,"Fantasy, Comedy, Emilio Rivera, Steve Carell, Michael Brownlee, Tom Shadyac",6
311,Once Upon a Time in America,"Drama, Crime, Bruno Bilotta, Marty Licata, Danny Aiello, Sergio Leone",3
313,Snow Cake,"Romance, Drama, John Bayliss, Janet van de Graaf, Alan Rickman, Marc Evans",0
314,Catwoman,"Action, Fantasy, Crime, John Mann, Holly Eglington, Kimani Ray Smith, Pitof",2
315,"Faster, Pussycat! Kill! Kill!","Crime, Action, Thriller, Comedy, Lori Williams, John Furlong, Ray Barlow, Russ Meyer",2
318,The Million Dollar Hotel,"Drama, Thriller, Jimmy Smits, Harris Yulin, Conrad Roberts, Wim Wenders",3
319,True Romance,"Action, Crime, Romance, Patrick John Hurley, Kevin Corrigan, Laurence Mason, Tony Scott",2
320,Insomnia,"Thriller, Crime, Drama, Nicky Katt, Maura Tierney, Malcolm Boddington, Christopher Nolan",2
321,Mambo Italiano,"Comedy, Romance, Ginette Reno, Peter Miller, Tim Post, Émile Gaudreault",6
322,Mystic River,"Thriller, Crime, Drama, Mystery, Jason Kelly, John Doman, Kevin Conway, Clint Eastwood",2
326,Snakes on a Plane,"Action, Thriller, Adventure, Crime, David Koechner, Casey Dubois, Terry Chen, David R. Ellis",2
327,Brother,"Crime, Drama, Thriller, Manny Perez, Kool Moe Dee, Lombardo Boyar, Takeshi Kitano",2
329,Jurassic Park,"Adventure, Science Fiction, BD Wong, Jophery C. Brown, Sam Neill, Steven Spielberg",4
330,The Lost World: Jurassic Park,"Adventure, Action, Science Fiction, Jeff Goldblum, Michael Milhoan, Cyd Strittmatter, Steven Spielberg",4
331,Jurassic Park III,"Adventure, Action, Thriller, Science Fiction, Brad Everett Young, William H. Macy, Edward C. Gillow, Joe Johnston",4
332,Inspector Gadget,"Action, Adventure, Comedy, Family, J.P. Manoux, Richard Lee-Sung, Michelle Trachtenberg, David Kellogg",7
334,Magnolia,"Drama, Danny Wells, Maurey Marston, Steven Bush, Paul Thomas Anderson",3
335,Once Upon a Time in the West,"Drama, Western, Lionel Stander, Luana Strode, Fabio Testi, Sergio Leone",3
338,"Good Bye, Lenin!","Comedy, Drama, Michael Gerber, Svea Timander, Hans-Uwe Bauer, Wolfgang Becker",6
